"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas c 1 2 3 4 5 6",,,,,,
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",9.79,11.73,20.99,17.11,13.27
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0,0,0
,Total Cannabis Act  [450] 16,..,..,..,2.85,8.38
,Youth Criminal Justice Act  [6450],14.31,8.06,12.3,7.13,2.1
,Total other Federal Statutes  [610],0.75,0,0,0.71,0
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],0,0,0,0,0
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0,0,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0,0,0,0,0
,Total Immigration and Refugee Protection Act  [620] 20,0.75,0,0,0.71,0
,Firearms Act  [6550],0,0,0,0,0
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],0,0,0,0,0
"London, Ontario [35555]",Total violent Criminal Code violations  [100] 13,781.54,797.18,826.54,875.07,838.44
,Total property crime violations  [200],"3,430.72","3,629.18","3,845.38","4,203.07","4,198.77"
,Total other Criminal Code violations  [300],"1,151.85","1,125.56",964.93,890.96,805.22
,Total impaired driving  [910] 14 15,91.58,77.45,77.33,85.58,95.29
,Total other Criminal Code traffic violations  [920] 15,215.95,198.12,203.67,246.84,252.83
,Total drug violations  [401],211.18,180.32,194.29,167.61,98.76
,"Possession, cannabis (pre-legalization)  [4140] 16",87.21,65.91,61.64,39.43,0
,"Possession, cocaine  [4120]",13.11,8.02,10.91,10.28,9.49
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",75.49,70.02,69.1,74.18,60.97
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",10.33,9.78,24.5,13.64,0
,"Total cocaine, trafficking, production or distribution  [430] 17",7.15,8.02,9.19,5.79,8.4
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",17.48,18.38,18.76,22.05,15.52
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0.4,0.2,0.19,0,0
,Total Cannabis Act  [450] 16,..,..,..,2.24,4.38
,Youth Criminal Justice Act  [6450],8.74,3.72,4.02,2.43,1.1
,Total other Federal Statutes  [610],9.73,6.65,4.21,5.05,4.56
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],0,0.2,0,0,0
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0.2,0,0.19,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0.2,0,0,0,0
,Total Immigration and Refugee Protection Act  [620] 20,2.98,0.59,0.38,0.19,1.46
,Firearms Act  [6550],1.79,1.96,1.34,1.87,1.46
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],4.77,3.72,2.49,2.8,1.64
"Windsor, Ontario [35559]",Total violent Criminal Code violations  [100] 13,872.49,711.11,706.04,801.41,778.12
,Total property crime violations  [200],"2,998.68","3,058.54","3,277.94","4,001.88","3,769.81"
,Total other Criminal Code violations  [300],529.69,589.36,660.84,741.77,767.68
,Total impaired driving  [910] 14 15,84.81,79.4,73.2,80.86,91.73
,Total other Criminal Code traffic violations  [920] 15,49.1,40.29,31.79,41.86,42.9
,Total drug violations  [401],204.73,224.68,202.98,228.81,290.98
,"Possession, cannabis (pre-legalization)  [4140] 16",37.49,30,22.16,16.92,0
,"Possession, cocaine  [4120]",8.33,5.29,9.92,8.32,8.75
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",22.91,26.76,34.7,34.12,41.77
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",83.02,101.46,90.7,103.51,0
,"Total cocaine, trafficking, production or distribution  [430] 17",14.58,15.88,12.54,10.9,15.24
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",38.39,45.29,32.66,39.28,38.95
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0.29,0,0.28
,Total Cannabis Act  [450] 16,..,..,..,15.77,185.99
,Youth Criminal Justice Act  [6450],4.46,7.65,9.04,3.73,3.39
,Total other Federal Statutes  [610],38.68,37.06,33.83,16.92,30.48
,Bankruptcy Act  [6100],0,0,0,0.29,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],26.48,20,20.12,7.45,22.01
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],3.27,11.18,4.37,2.58,1.98
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0.89,0,0.58,0,0.28
,Total Immigration and Refugee Protection Act  [620] 20,1.49,3.53,4.37,3.15,2.26
,Firearms Act  [6550],5.36,2.35,2.92,2.29,2.82
,National Defence Act  [6560],0.3,0,0,0,0
,Other federal statutes  [6900],0.89,0,1.46,1.15,1.13
"Barrie, Ontario [35568] 21 (map)",Total violent Criminal Code violations  [100] 13,713.31,734.46,761.54,753.98,865.68
,Total property crime violations  [200],"2,157.03","2,059.57","1,893.81","2,046.94","2,183.29"
,Total other Criminal Code violations  [300],680.02,721.3,826.31,"1,008.08","1,074.32"
,Total impaired driving  [910] 14 15,139.15,148.34,157.67,134.09,162.98
,Total other Criminal Code traffic violations  [920] 15,34.21,36.75,50.47,58.91,112.98
,Total drug violations  [401],169.66,147.89,181.34,125.74,104.72
,"Possession, cannabis (pre-legalization)  [4140] 16",81.36,61.24,71.46,35.61,0
,"Possession, cocaine  [4120]",26.35,24.04,32.61,23.74,32.67
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",21.27,28.13,34.39,29.02,40.55
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",14.33,13.61,9.38,7.03,0
,"Total cocaine, trafficking, production or distribution  [430] 17",17.57,13.16,19.65,18.46,12.6
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",8.78,7.71,13.85,11.43,12.2
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0,0,0.79
,Total Cannabis Act  [450] 16,..,..,..,0.44,5.91
,Youth Criminal Justice Act  [6450],18.03,14.97,5.36,8.79,5.51
,Total other Federal Statutes  [610],11.09,29.49,24.12,8.79,3.94
,Bankruptcy Act  [6100],0.92,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],9.71,11.79,22.33,5.72,1.57
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0,0,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0,0,0,0,0
,Total Immigration and Refugee Protection Act  [620] 20,0,2.27,1.34,2.64,1.57
,Firearms Act  [6550],0,0,0,0,0
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],0.46,15.42,0.45,0.44,0.79
"Greater Sudbury, Ontario [35580] 24 (map)",Total violent Criminal Code violations  [100] 13,940.21,957.99,"1,025.70","1,206.88","1,262.94"
,Total property crime violations  [200],"2,558.99","2,634.02","3,392.76","3,246.08","3,688.70"
,Total other Criminal Code violations  [300],797.61,976.68,978.81,"1,226.49",978.01
,Total impaired driving  [910] 14 15,97.28,89.83,98,92.75,118.47
,Total other Criminal Code traffic violations  [920] 15,31.42,43.41,42.09,36.27,58.64
,Total drug violations  [401],233.84,200.16,119.04,102.85,79.97
,"Possession, cannabis (pre-legalization)  [4140] 16",122.66,98.27,55.91,30.32,0
,"Possession, cocaine  [4120]",16.92,12.66,7.21,13.08,9.48
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",18.13,34.36,28.86,42.21,40.87
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",20.54,10.85,6.01,2.38,0
,"Total cocaine, trafficking, production or distribution  [430] 17",27.19,24.72,12.63,5.95,12.44
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",28.4,19.29,8.42,8.32,13.03
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0,0.59,0
,Total Cannabis Act  [450] 16,..,..,..,0,4.15
,Youth Criminal Justice Act  [6450],22.96,9.65,5.41,3.57,0.59
,Total other Federal Statutes  [610],1.21,0,1.2,0.59,0
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],0.6,0,1.2,0,0
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0,0,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0,0,0,0,0
,Total Immigration and Refugee Protection Act  [620] 20,0,0,0,0,0
,Firearms Act  [6550],0,0,0,0,0
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],0.6,0,0,0.59,0
"Thunder Bay, Ontario [35595]",Total violent Criminal Code violations  [100] 13,"1,414.28","1,447.22","1,551.21","1,583.73","1,619.12"
,Total property crime violations  [200],"3,533.66","3,366.76","3,180.52","3,620.41","4,362.91"
,Total other Criminal Code violations  [300],"1,145.36","1,362.91","1,393.41",924.24,"1,063.54"
,Total impaired driving  [910] 14 15,115.6,170.26,170.82,154.7,157.94
,Total other Criminal Code traffic violations  [920] 15,23.78,39.29,32.54,23.92,59.53
,Total drug violations  [401],104.12,85.13,94.36,118.82,57.94
,"Possession, cannabis (pre-legalization)  [4140] 16",40.99,24.56,15.46,11.96,0
,"Possession, cocaine  [4120]",13.12,8.19,13.01,8.77,14.29
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",9.84,20.46,17.08,11.16,5.56
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",8.2,7.37,5.69,50.24,0
,"Total cocaine, trafficking, production or distribution  [430] 17",24.6,16.37,35.79,25.52,26.99
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",7.38,8.19,7.32,11.16,10.32
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0,0,0
,Total Cannabis Act  [450] 16,..,..,..,0,0.79
,Youth Criminal Justice Act  [6450],37.71,23.74,25.22,12.76,16.67
,Total other Federal Statutes  [610],0.82,3.27,3.25,7.18,1.59
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],0,0.82,0,0,0
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0.82,0.81,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0,0.82,1.63,0.8,0
,Total Immigration and Refugee Protection Act  [620] 20,0,0.82,0.81,5.58,0.79
,Firearms Act  [6550],0,0,0,0.8,0
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],0.82,0,0,0,0.79
,,,,,,
Symbol legend:,,,,,,
..,not available for a specific reference period,,,,,
,,,,,,
Corrections:,,,,,,
Date:,Note:,,,,,
2019-08-01T04:00:00Z,"On August 1, 2019, the data for 2018 for “Total impaired driving” have been corrected.",,,,,
,,,,,,
Footnotes:,,,,,,
1,"For the period from 1998 to 2017 Incident-based Uniform Crime Reporting Survey (UCR2) data are not available for all respondents. In order to report this level of detail for police services still reporting to the Aggregate Uniform Crime Reporting Survey (UCR) over this time, a process of imputation was applied to derive counts for violations that do not exist on their own in the aggregate survey. For approximately 80% of the aggregate offence codes, there is a 1:1 mapping with a new incident-based violation code. For violations where this was not the case, such as the aggregate other Criminal Code category, it was necessary to estimate (impute) this figure using the distribution of other Criminal Code offences from existing Incident-based UCR2 respondents.",,,,,
2,"During the production of each year's crime statistics, data from the previous year are revised to reflect any updates or changes that have been received from the police services.",,,,,
3,"The methodology for calculating census metropolitan area (CMA) populations was modified in 2003. Starting in 1996, the populations for CMAs have been adjusted to reflect the actual policing boundaries within the CMA and do not reflect the official Statistics Canada population for these CMAs. CMA data are included within province-level data.",,,,,
4,"Police reported statistics may be affected by differences in the way police services deal with minor offences. In some instances, police or municipalities might chose to deal with some minor offences using municipal by-laws or provincial provisions rather than Criminal Code provisions. Counts are based on the most serious violation in the incident.",,,,,
5,"In January 2018, the Uniform Crime Reporting Survey (UCR) definitions of “founded” and “unfounded” criminal incidents were updated to reflect a more victim-centred approach for recording crimes that consider the complexities of certain offences such as sexual assault, family violence and intimate partner violence. Under the new reporting standards, specific offences may be more likely reported by police as founded rather than unfounded (or unsubstantiated), which would exclude them from police-reported crime rates and crime severity indices. Data for 2019 represent the first complete year of UCR data collected under the new reporting standards.  As a result, for selected violations and police services, the actual proportion of incidents in 2019 that were classified as “not cleared” has increased. Use caution when comparing these data with prior years.",,,,,
6,"A high crime rate or Crime Severity Index (CSI) may indicate that a municipality is a geographical area that provides commercial business, human or public services, or entertainment for many people who reside outside, as well as inside, the municipality. As a result, these municipalities may have large part-time or temporary populations which are excluded from both their population bases and their crime rate and CSI calculations.",,,,,
7,"With the release of 2012 data, revised population estimates at the respondent level were applied back to and including 2004. This resulted in boundary changes for the census metropolitan areas (CMA) of Saint John for 2005 to 2011 and for Winnipeg for 2011. Crime data for these years for these respondents have therefore been revised.",,,,,
8,"Population figures reflect only the permanent or resident population of a jurisdiction. Where a jurisdiction serves as the centre for commercial businesses, human or public services, or entertainment, it may have substantial “part-time” populations, e.g., tourists, cabin owners, commuters, students, and seasonal staff. These temporary populations, whose permanent residence is within another jurisdiction, are excluded from a jurisdiction’s population figures. This may be a factor to consider when examining the crime rate and Crime Severity Index for some municipalities.",,,,,
9,The census metropolitan area (CMA) of Ottawa-Gatineau was formerly known as Ottawa-Hull.,,,,,
10,"Ottawa numbers also include child pornography incidents reported by the National Child Exploitation Coordination Centre of the Royal Canadian Mounted Police (RCMP) which is located in the City of Ottawa. The Centre responds to internet-facilitated sexual abuse cases nationally. Therefore, while the incidents are detected by the RCMP Centre located in Ottawa and appear in Ottawa's crime statistics, the incidents themselves or the offenders are not limited to the city of Ottawa.",,,,,
11,"The increase in failure to stop or remain in 2014 for Gatineau Police Service (24216) can be attributed to a change in charging practices within the police service. Rather than using provincial statutes, they are now charging these incidents based on Criminal Code provisions. Therefore, comparisons with previous years should not be made.",,,,,
12,"Prior to 2013, all incidents of child pornography recorded by the Royal Canadian Mounted Police Service's Canadian Police Centre for Missing and Exploited Children (CPCMEC), located in Ottawa, were reported under the Ottawa Police Service. In 2014, Statistics Canada began reporting CPCMEC data separately and revised data for 2013 to account for this change. As a result of revisions to the 2013 data, some incidents identified by the CPCMEC and referred to the Ottawa Police Service for investigation may have been transferred to the CPCMEC. As such, the revised number of incidents for Ottawa Police Service for 2013 may be underrepresented and should not be compared to other years.",,,,,
13,"The violent crime category has been expanded under the Incident-based Uniform Crime Reporting Survey (UCR2) to include a number of offences not previously included in the violent crime category, including uttering threats, criminal harassment and forcible confinement. Therefore, total violent crime counts in this table will not match total violent crime counts from the Aggregate Uniform Crime Reporting Survey (URC).",,,,,
14,"In 2011, the introduction of the Immediate Roadside Prohibition (IRP) in British Columbia provided an alternative method for officers to proceed with penalties for impaired drivers and may account for the trends reported for 2011 and 2012.",,,,,
15,"On June 21, 2018, Part 1 of Bill C-46 “An Act to amend the Criminal Code (relating to conveyances) and to make consequential amendments to other Acts” came into effect. Part 2 of this legislation came into effect on December 18, 2018. As a result of this legislation, the Uniform Crime Reporting (UCR) Survey created 19 new violation codes and expired 15 existing traffic-specific violation codes.",,,,,
16,"On October 17, 2018, Bill C-45 “An Act respecting cannabis and to amend the Controlled Drugs and Substances Act, the Criminal Code and other Acts” came into effect. As a result, all prior pre-legalization cannabis-related legislation under the Controlled Drugs and Substances Act (CDSA) has been expired and replaced with 22 new violation codes under the Cannabis Act.",,,,,
17,"In 2016, the Royal Canadian Mounted Police (RCMP) detachment in Montréal underwent an exercise in making corrective measures to address under-counting of incidents importation/exportation and trafficking of drug offences. In response, Statistics Canada applied estimates to the 2015 revised data. As a result, numbers and rates from 2015 onwards should not be compared to data prior to 2015.",,,,,
18,"On May 18, 2017, Bill C-37 ""An Act to amend the Controlled Drugs and Substances Act and to make related amendments to other Acts"" came into effect. As a result, the offence of possessing, producing, selling or importing anything knowing it will be used to produce or traffic in crystal meth or ecstasy was expanded to include all substances listed in Schedule I, II , III, IV or V of the Controlled Drugs and Substances Act.",,,,,
19,"In 2011, the Controlled Drugs and Substances Act was amended to make it illegal for anyone to possess, produce, sell or import anything knowing it will be used to produce or traffic in crystal meth or ecstasy. The Uniform Crime Reporting Survey (UCR) introduced a new violation code to collect this information.",,,,,
20,Detailed information of this category is available upon request.,,,,,
21,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census.",,,,,
22,"In 2009, slight changes were made to the respondent-to-CMA mapping for this census metropolitan area (CMA) which have resulted in minor revisions to previously published data.",,,,,
23,"In 2018, the Royal Canadian Mounted Police (RCMP) reporting practices for drug seizures reported by Canadian Border Services Agency (CBSA) to the RCMP in Niagara were amended to better align with the Uniform Crime Reporting (UCR) survey in an effort to report consistent and accurate data. Due to this amendment in reporting practices, the RCMP detachment provided an estimate of the actual number of incidents for violations in 2017. Data should therefore be used with caution.",,,,,
24,"Previous to 2014, Greater Sudbury (35290) would record only those incidents where a search warrant was obtained and a charge related to child pornography was laid. As of 2014, reporting practices have changed to include all information of IP addresses with links to child pornography for information gathering and intelligence purposes. Therefore, comparisons with previous years should be made with caution.",,,,,
,,,,,,
"How to cite: Statistics Canada. Table 35-10-0177-01 Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas",,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510017701,,,,,,
DOI: https://doi.org/10.25318/3510017701-eng,,,,,,
